第90届奥斯卡获奖电影合集+颁奖典礼,http://www.llduang.com/91132.html,03-05,3
「网盘搜索引擎」更新2018 01 26,http://www.llduang.com/76388.html,01-25,60
2017年度豆瓣电影榜单汇总,http://www.llduang.com/87808.html,01-10,5
如果你看了还不会，那你就是白痴,http://www.llduang.com/17051.html,09-01,99
东京喰种  第三季    更新至02/12集,http://www.llduang.com/92772.html,04-11,2
伟大的诱惑者     更新至20/32集,http://www.llduang.com/91578.html,04-11,0
极地恶灵 第一季      更新至08/10集,http://www.llduang.com/92301.html,04-11,0
加油吧威基基  更新至18集,http://www.llduang.com/89709.html,04-11,0
能先接吻吗   32集完结,http://www.llduang.com/90757.html,04-11,0
我们遇见的奇迹       更新至04/20集,http://www.llduang.com/92784.html,04-11,0
交叉世界       更新至02/10集,http://www.llduang.com/93088.html,04-10,0
嗜血娇娃    更新至01/08集,http://www.llduang.com/93083.html,04-10,0
远大前程     更新至18/56集,http://www.llduang.com/92644.html,04-10,1
北京女子图鉴     更新至07/20集,http://www.llduang.com/93080.html,04-10,0
版权原因下线##南方有乔木     更新至31/40集,http://www.llduang.com/92271.html,04-10,0
深夜中的超跑     2018.HD720P.日语中字,http://www.llduang.com/93069.html,04-10,0
花落梦深处     2018.HD720P,http://www.llduang.com/93030.html,04-09,0
行尸走肉 第八季（含1~7季）   更新至15/16集,http://www.llduang.com/82447.html,04-09,26
亚特兰大 第二季（含第一季）    更新至06/10集,http://www.llduang.com/91475.html,04-09,0
抓住        2017.HD720p.中英双字,http://www.llduang.com/93042.html,04-09,0
此时此地   更新至09/10集,http://www.llduang.com/90099.html,04-09,0
国土安全 第七季（含前六季）    更新至09/12集,http://www.llduang.com/90061.html,04-09,0
无妄之灾    更新至02/03集,http://www.llduang.com/93009.html,04-09,0
幻日奇遇    2017.HD,http://www.llduang.com/93006.html,04-09,0
埃内斯托   2017.BD720P,http://www.llduang.com/93003.html,04-09,0
版权原因下线##亚人 真人版  2017.HD1080P.日语中字,http://www.llduang.com/92925.html,04-09,0
超人回来了 2013-2017  更新至201803408,http://www.llduang.com/79827.html,04-09,2
